run number,nominal diffusion coeff,nominal lifetime,nominal diffusion length,nominal CNR,estimated CNR,nominal sigma^2_0,estimated sigma^2_0,unweighted fit diffusion slope,unweighted fit diffusion slope stderr,unweighted fit intercept,unweighted fit intercept stderr,weighted fit diffusion slope,weighted fit diffusion slope stderr,weighted fit intercept,weighted fit intercept stderr,nominal diffusion coeff [cm^2/s],unweighted fit diffusion coeff [cm^2/s],unweighted fit diffusion stderr [cm^2/s],weighted fit diffusion coeff [cm^2/s],weighted fit diffusion stderr [cm^2/s]
599,0.010000000000000002,1,0.1,50.0,51.38532647686186,0.18033688011112042,0.18429977233352743,0.01879759591600208,0.002345200140144189,-0.00158614895808405,0.00139110474516635,0.01692318354838704,0.0027652541816414176,-0.0007679893312148676,0.0011533080269565967,0.1,0.0939879795800104,0.011726000700720945,0.08461591774193519,0.013826270908207088
600,0.010000000000000002,1,0.1,50.0,53.60496515836662,0.18033688011112042,0.181089058333482,0.023208291781645816,0.005566239391833363,-0.0013823572995587188,0.0033017318642302213,0.02068633964336205,0.004623789191240282,-0.00026531577054391764,0.001952766479755003,0.1,0.11604145890822908,0.027831196959166814,0.10343169821681024,0.023118945956201408
601,0.010000000000000002,1,0.1,50.0,55.15046761017209,0.18033688011112042,0.18359932650368185,0.01163780264427894,0.007322667364737805,0.002036366007423863,0.004343594025938968,0.0159225075411231,0.005856188047360856,0.00019944683386747153,0.002295374730149493,0.1,0.0581890132213947,0.03661333682368902,0.07961253770561551,0.029280940236804276
602,0.010000000000000002,1,0.1,50.0,49.87241373229781,0.18033688011112042,0.1825075159495102,0.015677309942056888,0.005040637955958375,-0.00028088665375772693,0.002989960327551484,0.01563443039227544,0.003806863201313628,-0.00024597920380233884,0.0015429567662139261,0.1,0.07838654971028443,0.025203189779791874,0.0781721519613772,0.019034316006568137
603,0.010000000000000002,1,0.1,50.0,46.847193861065385,0.18033688011112042,0.1845249893055314,0.019283078714826044,0.004566376847162417,-0.004267320328898428,0.0027086423847453964,0.01773742315136325,0.004603679871760338,-0.003721717338428174,0.001951082006892135,0.1,0.09641539357413022,0.022831884235812085,0.08868711575681625,0.023018399358801688
604,0.010000000000000002,1,0.1,50.0,55.412696223236395,0.18033688011112042,0.178571179967832,0.02902668352720611,0.003712860424138304,-0.0004988882905013542,0.0022023611826330457,0.028130492961460835,0.002797057466096633,-0.00010616784961455829,0.0011670457659690207,0.1,0.14513341763603052,0.018564302120691517,0.14065246480730417,0.013985287330483164
605,0.010000000000000002,1,0.1,50.0,61.729963884090466,0.18033688011112042,0.1791359226469499,0.02341808746776246,0.004557811179735162,-8.821363554316862e-06,0.00270356147911197,0.023093170332174045,0.0036722719456108526,0.0002773127699196073,0.0015609310220354683,0.1,0.11709043733881232,0.02278905589867581,0.11546585166087023,0.018361359728054263
606,0.010000000000000002,1,0.1,50.0,50.69619997542151,0.18033688011112042,0.181066044115312,0.024248580438485014,0.0032319604703136637,-0.0026576391971134365,0.0019171052693894943,0.022837256471641056,0.0030600876983643568,-0.00196210872666727,0.0012908630326628116,0.1,0.12124290219242508,0.016159802351568317,0.11418628235820528,0.015300438491821782
607,0.010000000000000002,1,0.1,50.0,51.848048477981116,0.18033688011112042,0.1815878512614376,0.03462233530616502,0.008035288524531732,-0.006856742183474606,0.0047663002418930275,0.024714947835589952,0.006379618185638452,-0.0032436259008895374,0.002686531251004883,0.1,0.1731116765308251,0.04017644262265866,0.12357473917794976,0.031898090928192256
608,0.010000000000000002,1,0.1,50.0,46.57468440573658,0.18033688011112042,0.17733996338530764,0.024129607854393855,0.004093341074119086,-0.0005503380663261425,0.002428051275590187,0.021660326222436153,0.003111156006075618,0.0005219326403628132,0.0012868897331005061,0.1,0.12064803927196928,0.02046670537059543,0.10830163111218076,0.01555578003037809
